Data,Preço médio,Volume,até 150 g,até 300 g,até 425 g,Total de sacolas,Sacolas pequenas,Sacolas grandes,Sacolas extragrandes,Tipo,Ano,Cidade,Data padrão BR,Receita
2015-07-05,1.16,202842.97,2709.26,109357.57,34986.3,55789.84,44032.97,5692.28,6064.59,conventional,2015,GrandRapids,05/07/2015,235297.84519999998
2015-06-28,1.1,155972.38,3089.5,55014.27,9941.32,87927.29,80548.8,5044.35,2334.14,conventional,2015,GrandRapids,28/06/2015,171569.61800000002
2015-06-21,0.96,265555.66,2552.14,167585.16,32903.12,62515.24,53623.47,4943.16,3948.61,conventional,2015,GrandRapids,21/06/2015,254933.43359999996
2015-06-14,1.07,197387.76,4446.1,116392.81,4934.17,71614.68,67207.35,4401.93,5.4,conventional,2015,GrandRapids,14/06/2015,211204.90320000003
2015-06-07,1.14,212599.11,6926.42,134230.11,10407.58,61035.0,55432.55,4067.09,1535.36,conventional,2015,GrandRapids,07/06/2015,242362.98539999998
2015-05-31,1.31,167907.51,7097.0,90411.8,3360.05,67038.66,64208.38,2794.35,35.93,conventional,2015,GrandRapids,31/05/2015,219958.83810000002
2015-05-24,1.3,158917.21,7888.33,74169.01,3111.69,73748.18,69048.81,4663.55,35.82,conventional,2015,GrandRapids,24/05/2015,206592.373
2015-05-17,0.97,277502.12,5515.43,202939.01,12421.42,56626.26,52456.3,3991.49,178.47,conventional,2015,GrandRapids,17/05/2015,269177.0564
2015-05-10,1.36,159642.82,7383.85,84947.73,3817.57,63493.67,59129.49,4335.74,28.44,conventional,2015,GrandRapids,10/05/2015,217114.23520000002
2015-05-03,1.06,238550.81,6301.92,176717.87,6727.83,48803.19,46862.74,1898.03,42.42,conventional,2015,GrandRapids,03/05/2015,252863.8586
2015-04-26,1.09,189609.49,4480.46,105590.91,6421.76,73116.36,68758.56,4305.08,52.72,conventional,2015,GrandRapids,26/04/2015,206674.34410000002
2015-04-19,0.93,310672.4,5547.29,217323.81,15023.71,72777.59,68697.84,3761.98,317.77,conventional,2015,GrandRapids,19/04/2015,288925.33200000005
2015-04-12,1.13,147494.24,5875.73,66804.31,2717.16,72097.04,68693.55,3377.45,26.04,conventional,2015,GrandRapids,12/04/2015,166668.49119999996
2015-04-05,1.22,157721.54,4487.21,92044.84,5487.61,55701.88,50462.56,5165.79,73.53,conventional,2015,GrandRapids,05/04/2015,192420.2788
2015-03-29,1.11,149631.24,1977.68,63600.68,3003.97,81048.91,75725.67,5299.2,24.04,conventional,2015,GrandRapids,29/03/2015,166090.6764
2015-03-22,0.91,311876.75,1930.32,231211.7,19097.99,59636.74,57118.41,2105.9,412.43,conventional,2015,GrandRapids,22/03/2015,283807.8425
2015-03-15,1.35,123895.07,1621.03,69452.53,4214.32,48607.19,45347.61,3244.22,15.36,conventional,2015,GrandRapids,15/03/2015,167258.3445
2015-03-08,1.08,146835.6,1783.51,68592.44,3903.17,72556.48,69329.04,3169.54,57.9,conventional,2015,GrandRapids,08/03/2015,158582.448
2015-03-01,0.95,263987.21,1355.2,182093.72,26454.42,54083.87,47217.11,3519.09,3347.67,conventional,2015,GrandRapids,01/03/2015,250787.8495
2015-02-22,1.31,129295.86,1593.4,69934.93,4894.78,52872.75,48858.06,3767.48,247.21,conventional,2015,GrandRapids,22/02/2015,169377.5766
2015-02-15,1.21,136761.35,1659.05,67025.59,4215.01,63861.7,57601.99,6203.39,56.32,conventional,2015,GrandRapids,15/02/2015,165481.2335
2015-02-08,1.24,132621.01,1155.67,74113.5,4855.23,52496.61,48150.41,4209.37,136.83,conventional,2015,GrandRapids,08/02/2015,164450.05240000002
2015-02-01,0.94,309471.69,1621.68,240215.65,19211.54,48422.82,43899.75,4377.27,145.8,conventional,2015,GrandRapids,01/02/2015,290903.3886
2015-01-25,1.19,144301.73,1112.09,78092.72,6374.01,58722.91,54053.21,4552.75,116.95,conventional,2015,GrandRapids,25/01/2015,171719.0587
2015-01-18,1.07,150201.39,970.13,78433.37,6411.99,64385.9,60381.95,3727.81,276.14,conventional,2015,GrandRapids,18/01/2015,160715.48730000004
2015-01-11,1.03,185135.41,972.96,127984.25,13798.9,42379.3,39193.44,2896.97,288.89,conventional,2015,GrandRapids,11/01/2015,190689.4723
2015-01-04,0.95,258979.63,1097.0,189348.6,22612.46,45921.57,43899.46,1097.68,924.43,conventional,2015,GrandRapids,04/01/2015,246030.64849999998
2015-12-27,1.01,2580602.96,336673.7,1411808.83,254629.93,577490.5,400003.8,98401.09,79085.61,conventional,2015,GreatLakes,27/12/2015,2606408.9896
2015-12-20,1.01,2504745.45,383701.76,1337404.03,241580.61,542059.05,358218.65,122999.48,60840.92,conventional,2015,GreatLakes,20/12/2015,2529792.9045
2015-12-13,1.03,2608448.06,463349.67,1342449.84,228576.54,574072.01,409909.7,148004.93,16157.38,conventional,2015,GreatLakes,13/12/2015,2686701.5018
2015-12-06,1.0,2981347.2,401676.14,1680591.43,398320.64,500758.99,325850.0,124306.44,50602.55,conventional,2015,GreatLakes,06/12/2015,2981347.2
2015-11-29,1.07,2198408.92,318661.4,1199426.12,248818.72,431502.68,328369.47,83149.01,19984.2,conventional,2015,GreatLakes,29/11/2015,2352297.5444
2015-11-22,1.03,2601821.63,347803.29,1471865.16,280543.97,501609.21,391454.61,89472.08,20682.52,conventional,2015,GreatLakes,22/11/2015,2679876.2789
2015-11-15,1.09,2494044.41,342002.87,1322818.28,248635.49,580587.77,465154.46,99695.62,15737.69,conventional,2015,GreatLakes,15/11/2015,2718508.4069000003
2015-11-08,0.98,3184946.53,410061.0,1794703.2,425242.73,554939.6,365002.12,138161.32,51776.16,conventional,2015,GreatLakes,08/11/2015,3121247.5993999997
2015-11-01,1.0,3229124.75,436343.74,1825512.93,388703.05,578565.03,399665.31,133071.89,45827.83,conventional,2015,GreatLakes,01/11/2015,3229124.75
2015-10-25,1.1,2671535.94,383559.81,1460066.36,331096.84,496812.93,335249.25,130933.76,30629.92,conventional,2015,GreatLakes,25/10/2015,2938689.534
2015-10-18,1.03,2981549.94,396690.54,1695841.56,353741.96,535275.88,419558.97,92629.46,23087.45,conventional,2015,GreatLakes,18/10/2015,3070996.4382
2015-10-11,1.02,3004133.39,355508.86,1652244.4,456771.26,539608.87,384772.59,93016.17,61820.11,conventional,2015,GreatLakes,11/10/2015,3064216.0578
2015-10-04,1.05,2814678.93,296032.66,1632488.05,381986.61,504171.61,354840.13,106127.86,43203.62,conventional,2015,GreatLakes,04/10/2015,2955412.8765000002
2015-09-27,1.1,2770074.76,343271.52,1605775.14,344488.51,476539.59,327299.75,103091.55,46148.29,conventional,2015,GreatLakes,27/09/2015,3047082.236
2015-09-20,1.02,3336245.24,460475.95,1887110.85,418235.21,570423.23,406010.16,109268.58,55144.49,conventional,2015,GreatLakes,20/09/2015,3402970.1448000004
2015-09-13,1.03,3532480.92,492741.15,1958150.0,447108.5,634481.27,448051.74,132685.58,53743.95,conventional,2015,GreatLakes,13/09/2015,3638455.3476
2015-09-06,1.07,3272555.01,432770.76,1876392.91,348448.68,614942.66,468148.29,121209.44,25584.93,conventional,2015,GreatLakes,06/09/2015,3501633.8607
2015-08-30,1.04,3388803.79,478858.03,1877733.21,419390.5,612822.05,457558.59,111788.68,43474.78,conventional,2015,GreatLakes,30/08/2015,3524355.9416
2015-08-23,1.14,2849127.29,404182.26,1596909.93,279710.88,568324.22,427635.3,122225.92,18463.0,conventional,2015,GreatLakes,23/08/2015,3248005.1106
2015-08-16,1.03,3653376.07,414756.68,2087149.52,475383.38,676086.49,486209.97,129683.8,60192.72,conventional,2015,GreatLakes,16/08/2015,3762977.3521
2015-08-09,1.12,3230139.65,420919.7,1839862.82,331336.66,638020.47,497895.48,115527.66,24597.33,conventional,2015,GreatLakes,09/08/2015,3617756.4080000003
2015-08-02,1.14,3162447.64,490577.01,1722754.95,321610.93,627504.75,500704.88,104570.86,22229.01,conventional,2015,GreatLakes,02/08/2015,3605190.3096
2015-07-26,1.1,3135698.38,475306.73,1616355.0,281882.1,762154.55,617211.53,127530.47,17412.55,conventional,2015,GreatLakes,26/07/2015,3449268.2180000003
2015-07-19,1.12,3436864.41,449090.82,1843047.36,454643.18,690083.05,535843.25,110898.39,43341.41,conventional,2015,GreatLakes,19/07/2015,3849288.1392000006
2015-07-12,1.14,3077237.12,456044.5,1617124.36,288141.07,715927.19,581802.24,120335.36,13789.59,conventional,2015,GreatLakes,12/07/2015,3508050.3167999997
2015-07-05,1.13,3774004.27,502233.05,2055125.98,442059.88,774585.36,606612.51,140253.5,27719.35,conventional,2015,GreatLakes,05/07/2015,4264624.8251
2015-06-28,1.07,3336314.35,476721.82,1631460.3,261863.52,966268.71,803974.11,148652.02,13642.58,conventional,2015,GreatLakes,28/06/2015,3569856.3545000004
2015-06-21,1.08,3720458.83,487936.68,1958437.1,493928.69,780156.36,611156.81,132172.82,36826.73,conventional,2015,GreatLakes,21/06/2015,4018095.5364000006
2015-06-14,1.12,3511185.14,604782.48,1744519.06,346867.18,815016.42,683334.7,119899.69,11782.03,conventional,2015,GreatLakes,14/06/2015,3932527.3568000006
2015-06-07,1.13,3602112.79,689242.14,1723625.04,447117.42,742128.19,584086.31,122232.65,35809.23,conventional,2015,GreatLakes,07/06/2015,4070387.4527
2015-05-31,1.2,3151714.0,667193.97,1478975.82,280464.92,725079.29,593192.94,119920.22,11966.13,conventional,2015,GreatLakes,31/05/2015,3782056.8
2015-05-24,1.15,3574050.61,758183.5,1764210.85,263068.72,788587.54,641756.72,134308.54,12522.28,conventional,2015,GreatLakes,24/05/2015,4110158.2014999995
2015-05-17,1.09,3753201.03,787079.55,1939235.3,406338.23,620547.95,481046.82,110126.4,29374.73,conventional,2015,GreatLakes,17/05/2015,4090989.1227
2015-05-10,1.15,3501344.46,766730.7,1723310.79,274259.73,737043.24,585000.53,147022.85,5019.86,conventional,2015,GreatLakes,10/05/2015,4026546.1289999997
2015-05-03,1.05,3901054.42,719493.66,2200706.49,327171.65,653682.62,493009.35,146837.36,13835.91,conventional,2015,GreatLakes,03/05/2015,4096107.1410000003
2015-04-26,1.14,3234024.32,609506.22,1580854.41,294073.96,749589.73,615887.17,116500.49,17202.07,conventional,2015,GreatLakes,26/04/2015,3686787.7247999995
2015-04-19,1.06,3857605.11,615564.03,2140254.41,383840.98,717945.69,609139.49,84879.59,23926.61,conventional,2015,GreatLakes,19/04/2015,4089061.4166
2015-04-12,1.11,2895992.9,548501.37,1403326.56,190091.28,754073.69,688965.8,60642.37,4465.52,conventional,2015,GreatLakes,12/04/2015,3214552.119
2015-04-05,1.18,2938918.81,504487.79,1595354.39,221603.31,617473.32,552075.78,61643.12,3754.42,conventional,2015,GreatLakes,05/04/2015,3467924.1958
2015-03-29,1.09,2971443.88,456518.93,1472879.42,196545.04,845500.49,758625.31,82421.91,4453.27,conventional,2015,GreatLakes,29/03/2015,3238873.8292
2015-03-22,1.04,3746598.18,543151.72,2146436.5,451798.84,605211.12,453829.96,105804.36,45576.8,conventional,2015,GreatLakes,22/03/2015,3896462.1072000004
2015-03-15,1.1,2948199.23,475449.58,1626922.95,223788.7,622038.0,498932.31,114147.11,8958.58,conventional,2015,GreatLakes,15/03/2015,3243019.1530000004
2015-03-08,1.04,3134752.64,380674.2,1675102.29,253978.78,824997.37,697812.88,114519.6,12664.89,conventional,2015,GreatLakes,08/03/2015,3260142.7456
2015-03-01,1.02,3566752.43,353818.94,2135517.89,478701.64,598713.96,462539.26,88541.92,47632.78,conventional,2015,GreatLakes,01/03/2015,3638087.4786
2015-02-22,1.16,2730224.03,391400.93,1482033.31,246541.13,610248.66,512270.39,88536.91,9441.36,conventional,2015,GreatLakes,22/02/2015,3167059.8747999994
2015-02-15,1.15,2610004.41,390973.21,1331420.43,237030.33,650580.44,561485.4,81172.24,7922.8,conventional,2015,GreatLakes,15/02/2015,3001505.0715
2015-02-08,1.07,2856456.35,515789.01,1541252.99,238780.53,560633.82,472576.07,78544.87,9512.88,conventional,2015,GreatLakes,08/02/2015,3056408.2945000003
2015-02-01,0.91,4874124.41,768874.35,2948564.71,510153.65,646531.7,479453.25,126925.79,40152.66,conventional,2015,GreatLakes,01/02/2015,4435453.2131
2015-01-25,1.13,2928692.32,390289.67,1649082.75,271642.56,617677.34,503612.64,109501.0,4563.7,conventional,2015,GreatLakes,25/01/2015,3309422.3215999994
2015-01-18,1.08,3006207.02,401683.43,1650327.26,257105.89,697090.44,600155.95,93434.54,3499.95,conventional,2015,GreatLakes,18/01/2015,3246703.5816
2015-01-11,1.1,3067638.32,416900.3,1818618.04,316856.73,515263.25,412976.97,91214.54,11071.74,conventional,2015,GreatLakes,11/01/2015,3374402.1520000002
2015-01-04,1.02,3382800.12,467259.47,2059657.71,318102.38,537780.56,412779.64,111072.91,13928.01,conventional,2015,GreatLakes,04/01/2015,3450456.1224
2015-12-27,1.05,2065131.33,435246.31,1022861.71,103811.97,503211.34,464119.16,35717.26,3374.92,conventional,2015,Midsouth,27/12/2015,2168387.8965000003
2015-12-20,1.05,2044020.93,446433.13,1024405.09,96387.48,476795.23,434534.42,38523.1,3737.71,conventional,2015,Midsouth,20/12/2015,2146221.9765
2015-12-13,1.03,2193142.82,515063.58,1060753.67,113979.43,503346.14,445274.87,57239.73,831.54,conventional,2015,Midsouth,13/12/2015,2258937.1045999997
2015-12-06,1.0,2233138.01,507201.58,1154808.22,133316.89,437811.32,377999.41,57793.89,2018.02,conventional,2015,Midsouth,06/12/2015,2233138.01
2015-11-29,1.05,1845443.13,417849.42,939038.5,101739.67,386815.54,344830.99,40738.63,1245.92,conventional,2015,Midsouth,29/11/2015,1937715.2865
2015-11-22,1.06,1903245.0,422437.27,955972.74,117353.23,407481.76,364155.91,41724.4,1601.45,conventional,2015,Midsouth,22/11/2015,2017439.7000000002
2015-11-15,1.02,2355839.19,470482.8,1302219.95,168586.54,414549.9,373075.42,40843.12,631.36,conventional,2015,Midsouth,15/11/2015,2402955.9738
2015-11-08,1.04,2503008.26,568612.19,1248271.45,228267.05,457857.57,402488.58,52180.99,3188.0,conventional,2015,Midsouth,08/11/2015,2603128.5903999996
2015-11-01,1.08,2511760.36,549089.55,1188242.89,260946.16,513481.76,429082.15,81904.3,2495.31,conventional,2015,Midsouth,01/11/2015,2712701.1888
2015-10-25,1.13,2188485.29,522060.98,980865.05,211478.23,474081.03,417038.17,55815.71,1227.15,conventional,2015,Midsouth,25/10/2015,2472988.3776999996
2015-10-18,1.05,2783170.15,555583.11,1537196.96,215608.69,474781.39,423533.77,50778.19,469.43,conventional,2015,Midsouth,18/10/2015,2922328.6575
2015-10-11,1.13,2329757.67,469059.21,1057488.47,277954.43,525255.56,455592.88,68091.96,1570.72,conventional,2015,Midsouth,11/10/2015,2632626.1670999997
2015-10-04,1.18,2233935.94,467701.3,1070891.86,194003.8,501338.98,438547.27,61454.54,1337.17,conventional,2015,Midsouth,04/10/2015,2636044.4091999996
2015-09-27,1.11,2390611.02,479660.47,1206766.08,274903.15,429281.32,383854.11,43807.49,1619.72,conventional,2015,Midsouth,27/09/2015,2653578.2322000004
2015-09-20,1.13,2447264.74,555127.12,1122683.82,208537.92,560915.88,479718.29,76793.78,4403.81,conventional,2015,Midsouth,20/09/2015,2765409.1562
2015-09-13,1.09,2814803.06,574792.78,1444401.99,182702.62,612905.67,548306.36,61850.13,2749.18,conventional,2015,Midsouth,13/09/2015,3068135.3354
2015-09-06,1.08,3013825.75,564493.74,1458691.19,314497.84,676142.98,598816.21,75569.59,1757.18,conventional,2015,Midsouth,06/09/2015,3254931.81
2015-08-30,1.18,2535192.78,516825.42,1161145.08,196950.9,660271.38,620018.68,36845.26,3407.44,conventional,2015,Midsouth,30/08/2015,2991527.4804
2015-08-23,1.12,2765838.1,571552.62,1286342.3,210164.47,697778.71,654945.01,41707.37,1126.33,conventional,2015,Midsouth,23/08/2015,3097738.6720000003
2015-08-16,1.14,2823405.23,627950.44,1355609.83,222563.23,617281.73,577210.39,36597.11,3474.23,conventional,2015,Midsouth,16/08/2015,3218681.9621999995
2015-08-09,1.15,2710710.15,531460.61,1328248.62,203932.87,647068.05,597061.79,48069.52,1936.74,conventional,2015,Midsouth,09/08/2015,3117316.6725
2015-08-02,1.14,2752081.97,532287.84,1359710.96,208419.92,651663.25,604227.7,46004.95,1430.6,conventional,2015,Midsouth,02/08/2015,3137373.4458
2015-07-26,1.15,2664424.22,531729.96,1239353.81,199553.32,693787.13,638982.26,53809.21,995.66,conventional,2015,Midsouth,26/07/2015,3064087.853
2015-07-19,1.14,2751192.77,569216.65,1234664.0,218257.94,729054.18,685065.97,41646.75,2341.46,conventional,2015,Midsouth,19/07/2015,3136359.7578
2015-07-12,1.13,2783554.82,532046.38,1337980.83,205773.72,707753.89,662158.17,44652.53,943.19,conventional,2015,Midsouth,12/07/2015,3145416.9465999994
2015-07-05,1.13,3183419.6,632988.75,1545460.43,232974.97,771995.45,717654.81,53154.69,1185.95,conventional,2015,Midsouth,05/07/2015,3597264.1479999996
2015-06-28,1.14,2835630.41,534709.22,1324231.26,215752.18,760937.75,722276.9,37287.39,1373.46,conventional,2015,Midsouth,28/06/2015,3232618.6673999997
2015-06-21,1.13,2979417.82,601782.55,1363070.07,215613.45,798951.75,750253.84,45536.54,3161.37,conventional,2015,Midsouth,21/06/2015,3366742.1365999994
2015-06-14,1.09,3173051.42,653441.16,1484200.81,206159.51,829249.94,786795.07,40769.55,1685.32,conventional,2015,Midsouth,14/06/2015,3458626.0478000003
2015-06-07,1.14,2918298.91,724315.73,1217522.42,200001.49,776459.27,717859.42,56141.4,2458.45,conventional,2015,Midsouth,07/06/2015,3326860.7574
2015-05-31,1.14,3039403.06,734816.3,1377202.12,207708.91,719675.73,661787.82,56794.41,1093.5,conventional,2015,Midsouth,31/05/2015,3464919.4883999997
2015-05-24,1.14,3119050.91,719874.17,1431141.56,231744.91,736290.27,679537.84,55107.23,1645.2,conventional,2015,Midsouth,24/05/2015,3555718.0374
2015-05-17,1.18,2817008.33,698401.8,1201257.18,203615.52,713733.83,667222.64,44437.39,2073.8,conventional,2015,Midsouth,17/05/2015,3324069.8293999997
2015-05-10,1.17,2956859.19,721935.59,1299998.7,190755.81,744169.09,679213.0,64322.24,633.85,conventional,2015,Midsouth,10/05/2015,3459525.2523
2015-05-03,1.07,3410467.52,793989.95,1557507.45,364283.54,694686.58,624533.81,68904.63,1248.14,conventional,2015,Midsouth,03/05/2015,3649200.2464
2015-04-26,1.2,2699614.5,698128.52,1125853.0,192090.19,683542.79,642966.9,39078.44,1497.45,conventional,2015,Midsouth,26/04/2015,3239537.4
2015-04-19,1.18,2711008.32,654378.33,1125460.56,190006.01,741163.42,701805.76,37167.77,2189.89,conventional,2015,Midsouth,19/04/2015,3198989.8175999997
2015-04-12,1.13,2829416.58,665283.33,1298472.42,185691.58,679969.25,635124.32,44745.79,99.14,conventional,2015,Midsouth,12/04/2015,3197240.7353999997
2015-04-05,1.19,2519677.31,617567.29,1066608.5,183653.85,651847.67,607923.59,42910.27,1013.81,conventional,2015,Midsouth,05/04/2015,2998415.9989
2015-03-29,1.18,2523110.39,576473.89,1160794.38,203057.64,582784.48,547007.1,35421.43,355.95,conventional,2015,Midsouth,29/03/2015,2977270.2602
2015-03-22,1.11,2779012.66,681261.26,1282053.45,197573.91,618124.04,560370.06,53740.87,4013.11,conventional,2015,Midsouth,22/03/2015,3084704.0526000005
2015-03-15,1.19,2462108.11,570576.91,1066470.63,210234.78,614825.79,578103.5,34641.93,2080.36,conventional,2015,Midsouth,15/03/2015,2929908.6509
2015-03-08,1.21,2297509.11,545690.6,949015.34,179824.24,622978.93,588931.15,33275.04,772.74,conventional,2015,Midsouth,08/03/2015,2779986.0231
2015-03-01,1.14,2538981.6,620672.44,1151353.87,182873.34,584081.95,543841.07,37011.94,3228.94,conventional,2015,Midsouth,01/03/2015,2894439.0239999997
2015-02-22,1.1,2720346.71,632670.12,1209150.04,295228.18,583298.37,535973.53,46783.55,541.29,conventional,2015,Midsouth,22/02/2015,2992381.381
2015-02-15,1.17,2420829.45,634266.43,982380.32,206499.63,597683.07,515932.56,81139.48,611.03,conventional,2015,Midsouth,15/02/2015,2832370.4565
2015-02-08,1.06,2734006.98,732854.05,1222159.62,159491.59,619501.72,543231.71,75649.4,620.61,conventional,2015,Midsouth,08/02/2015,2898047.3988
2015-02-01,0.99,3668037.65,888523.17,1798504.77,388259.15,592750.56,464442.27,125798.21,2510.08,conventional,2015,Midsouth,01/02/2015,3631357.2734999997
2015-01-25,1.15,2480820.72,566435.98,1077630.8,164873.48,671880.46,572717.4,99142.71,20.35,conventional,2015,Midsouth,25/01/2015,2852943.828
2015-01-18,1.19,2330829.2,530333.83,1045424.87,186027.52,569042.98,478770.7,90214.44,57.84,conventional,2015,Midsouth,18/01/2015,2773686.748
2015-01-11,1.17,2335986.11,560119.16,1032606.49,191515.19,551745.27,465764.93,85966.27,14.07,conventional,2015,Midsouth,11/01/2015,2733103.7487
2015-01-04,1.1,2578275.12,575245.44,1311502.53,181058.65,510468.5,429166.89,80986.81,314.8,conventional,2015,Midsouth,04/01/2015,2836102.632
2015-12-27,1.2,3156360.2,69920.54,2313155.65,35858.35,737425.66,690116.94,46305.06,1003.66,conventional,2015,Northeast,27/12/2015,3787632.24
2015-12-20,1.2,3190120.04,72576.52,2330694.41,14909.65,771939.46,709816.2,60823.26,1300.0,conventional,2015,Northeast,20/12/2015,3828144.048
2015-12-13,1.09,3696551.52,81055.1,2852333.86,4716.39,758446.17,706707.82,51734.84,3.51,conventional,2015,Northeast,13/12/2015,4029241.1568000005
2015-12-06,1.14,3218494.55,85444.57,2541186.76,3341.42,588521.8,547611.8,40901.19,8.81,conventional,2015,Northeast,06/12/2015,3669083.7869999995
2015-11-29,1.22,2593780.51,71191.69,1964333.5,3025.26,555230.06,513647.72,41582.34,0.0,conventional,2015,Northeast,29/11/2015,3164412.2221999997
2015-11-22,1.16,3026217.24,79006.95,2316404.82,4067.05,626738.42,581899.23,44833.83,5.36,conventional,2015,Northeast,22/11/2015,3510411.9984
2015-11-15,1.09,3538946.22,89242.5,2738913.76,3393.33,707396.63,658542.91,48853.72,0.0,conventional,2015,Northeast,15/11/2015,3857451.3798000007
2015-11-08,1.1,4205775.44,86385.14,3333003.32,4491.79,781895.19,645890.25,136004.94,0.0,conventional,2015,Northeast,08/11/2015,4626352.984000001
2015-11-01,1.09,4801621.08,95355.74,3920642.46,4729.26,780893.62,697293.46,83580.91,19.25,conventional,2015,Northeast,01/11/2015,5233766.977200001
2015-10-25,1.15,3306614.18,88907.0,2438454.39,3363.89,775888.9,693912.61,81976.29,0.0,conventional,2015,Northeast,25/10/2015,3802606.307
2015-10-18,0.99,4866607.14,93569.28,4025382.16,5421.22,742234.48,661214.66,81018.08,1.74,conventional,2015,Northeast,18/10/2015,4817941.0686
2015-10-11,1.23,3307828.65,88376.7,2383018.56,4364.98,832068.41,721415.51,110651.17,1.73,conventional,2015,Northeast,11/10/2015,4068629.2394999997
2015-10-04,1.21,3585183.3,99666.72,2679760.58,5434.32,800321.68,716567.95,83753.73,0.0,conventional,2015,Northeast,04/10/2015,4338071.793
2015-09-27,1.13,3739072.7,86278.88,2965153.82,4785.85,682854.15,589490.48,93363.67,0.0,conventional,2015,Northeast,27/09/2015,4225152.151
2015-09-20,1.21,3334592.0,86196.27,2492113.6,4293.65,751988.48,672883.2,79105.28,0.0,conventional,2015,Northeast,20/09/2015,4034856.32
2015-09-13,1.14,4205294.58,95839.65,3364304.91,4616.79,740533.23,638404.31,102122.78,6.14,conventional,2015,Northeast,13/09/2015,4794035.8212
