Data,Preço médio,Volume,até 150 g,até 300 g,até 425 g,Total de sacolas,Sacolas pequenas,Sacolas grandes,Sacolas extragrandes,Tipo,Ano,Cidade,Data padrão BR,Receita,Porcentagem 150 g,Porcentagem 300 g,Porcentagem 425 g
2015-09-20,1.33,69759.01,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0.0,conventional,2015,Albany,20/09/2015,92779.48329999999,1.4736877716584569,85.02574792847548,0.21574274061515494
2015-09-13,1.28,76111.27,985.73,65696.86,142.0,9286.68,8665.19,621.49,0.0,conventional,2015,Albany,13/09/2015,97422.4256,1.2951170043542828,86.31686214144108,0.1865689535859801
2015-09-06,1.11,99172.96,879.45,90062.62,240.79,7990.1,7762.87,227.23,0.0,conventional,2015,Albany,06/09/2015,110081.98560000001,0.8867840588805659,90.8136855045972,0.24279803688424745
2015-08-30,1.07,105693.84,689.01,94362.67,335.43,10306.73,10218.93,87.8,0.0,conventional,2015,Albany,30/08/2015,113092.4088,0.6518922957099487,89.27925222510602,0.31736002779348355
2015-08-23,1.34,79992.09,733.16,67933.79,444.78,10880.36,10745.79,134.57,0.0,conventional,2015,Albany,23/08/2015,107189.40060000001,0.9165406229540947,84.92563452211337,0.5560299774640218
2015-08-16,1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0.0,conventional,2015,Albany,16/08/2015,106458.2274,0.6741935475810862,85.7855663488156,0.49335501146997307
2015-08-09,1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,109.55,0.0,conventional,2015,Albany,09/08/2015,124477.8416,0.5260258304478826,90.84093501826915,0.33196591030865047
2015-08-02,1.45,75133.1,509.94,62035.06,741.08,11847.02,11768.52,78.5,0.0,conventional,2015,Albany,02/08/2015,108942.99500000001,0.6787155062149705,82.56688463540036,0.9863562131736878
2015-07-26,1.11,106757.1,648.75,91949.05,966.61,13192.69,13061.53,131.16,0.0,conventional,2015,Albany,26/07/2015,118500.38100000002,0.6076879195856763,86.12921295164443,0.9054292407718082
2015-07-19,1.26,96617.0,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0.0,conventional,2015,Albany,19/07/2015,121737.42,1.0785886541705911,84.92232215862632,2.316383245184595
2015-07-12,1.05,124055.31,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany,12/07/2015,130258.0755,0.5418953852116447,76.33169430635417,3.4320497848903044
2015-07-05,1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0.0,conventional,2015,Albany,05/07/2015,147490.362,0.7958197973641152,66.4523031681216,5.3849389833350605
2015-06-28,1.37,89534.81,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0.0,conventional,2015,Albany,28/06/2015,122662.6897,0.7418678835639457,64.27197421874241,5.207706365825761
2015-06-21,1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662.0,213.65,0.0,conventional,2015,Albany,21/06/2015,133158.7253,0.7668237268714677,73.14162724265731,5.2276698986994585
2015-06-14,1.32,89631.3,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0.0,conventional,2015,Albany,14/06/2015,118313.316,0.9489765294043486,61.809814205528646,4.883550723910062
2015-06-07,1.07,122743.06,656.71,99220.82,90.32,22775.21,22314.99,460.22,0.0,conventional,2015,Albany,07/06/2015,131335.0742,0.5350282125930379,80.83619554539378,0.07358460836808207
2015-05-31,1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0.0,conventional,2015,Albany,31/05/2015,117002.0526,0.9696540144288033,74.08222058832496,0.05314137540181923
2015-05-24,1.19,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,0.0,conventional,2015,Albany,24/05/2015,120750.3829,0.6704088886164518,70.34214042231413,0.05784909192200997
2015-05-17,1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0.0,conventional,2015,Albany,17/05/2015,157096.1821,1.0473115756261273,74.60135391794476,0.08585670141502438
2015-05-10,1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0.0,conventional,2015,Albany,10/05/2015,151739.1666,1.1794857188836043,84.69840587617938,0.15416692027620507
2015-05-03,1.2,59197.67,919.87,45490.05,217.24,12570.51,12201.95,368.56,0.0,conventional,2015,Albany,03/05/2015,71037.204,1.5538956178511756,76.84432512293137,0.366973902858001
2015-04-26,1.22,49585.46,875.65,35841.75,89.62,12778.44,12076.83,701.61,0.0,conventional,2015,Albany,26/04/2015,60494.2612,1.765941064174861,72.2827820897497,0.18073846647787475
2015-04-19,1.19,49064.73,774.15,33941.51,47.15,14301.92,13602.97,698.95,0.0,conventional,2015,Albany,19/04/2015,58387.0287,1.5778136351713337,69.17700352167432,0.09609754298046681
2015-04-12,1.13,48364.29,864.27,30374.15,21.5,17104.37,16438.49,665.88,0.0,conventional,2015,Albany,12/04/2015,54651.647699999994,1.787000284714197,62.80284482621372,0.044454286416692974
2015-04-05,1.16,47362.13,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany,05/04/2015,54940.070799999994,2.030673029274655,75.11836988750295,0.19796406960582222
2015-03-29,1.02,67799.08,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0.0,conventional,2015,Albany,29/03/2015,69155.0616,2.0682876522808273,86.46609953999376,0.13200769095981835
2015-03-22,1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0.0,conventional,2015,Albany,22/03/2015,51908.472,4.621306518134458,74.03644476377575,0.3059539105678164
2015-03-15,1.11,43045.79,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0.0,conventional,2015,Albany,15/03/2015,47780.82690000001,4.944176886984767,70.73205068370217,0.2315441300995986
2015-03-08,1.07,40507.36,795.68,30370.64,159.05,9181.99,8827.55,354.44,0.0,conventional,2015,Albany,08/03/2015,43342.8752,1.9642850089465222,74.97560937074151,0.39264469469252006
2015-03-01,0.99,55595.74,629.46,45633.34,181.49,9151.45,8986.06,165.39,0.0,conventional,2015,Albany,01/03/2015,55039.7826,1.1322090505495566,82.08064143044052,0.3264458751695724
2015-02-22,1.07,45675.05,1088.38,35056.13,151.0,9379.54,9000.16,379.38,0.0,conventional,2015,Albany,22/02/2015,48872.30350000001,2.3828764281593564,76.75115845521788,0.33059624455802455
2015-02-15,1.06,41567.62,986.66,30045.51,222.42,10313.03,9979.87,333.16,0.0,conventional,2015,Albany,15/02/2015,44061.677200000006,2.3736263947755485,72.2810447170177,0.5350799492489586
2015-02-08,0.99,51253.97,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0.0,conventional,2015,Albany,08/02/2015,50741.4303,2.6483216812278148,76.30981561038101,0.31851191234552173
2015-02-01,0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0.0,conventional,2015,Albany,01/02/2015,70164.864,1.9103022846306665,84.68202546505327,0.2530138161459274
2015-01-25,1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0.0,conventional,2015,Albany,25/01/2015,47856.350000000006,2.0851209923030067,73.52823522897171,0.36356387396865825
2015-01-18,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0.0,conventional,2015,Albany,18/01/2015,52078.19759999999,2.0537266059300023,70.85916199219614,0.30502380520173766
2015-01-11,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,conventional,2015,Albany,11/01/2015,51081.8992,2.4343926507728595,76.80611373979612,0.30858053922944195
2015-01-04,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0.0,conventional,2015,Albany,04/01/2015,49865.4016,6.898149597976968,69.20760947004987,0.1220846479656147
2015-12-27,0.99,386100.49,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0.0,conventional,2015,Atlanta,27/12/2015,382239.4851,75.65319588172498,7.083886373726177,0.07715607923729907
2015-12-20,1.08,331377.53,251774.15,20702.45,103.06,58797.87,46930.26,11867.61,0.0,conventional,2015,Atlanta,20/12/2015,357887.73240000004,75.97803930761387,6.24739100445344,0.031100479263032707
2015-12-13,0.96,417772.47,324932.28,31019.08,275.8,61545.31,38903.57,22628.21,13.53,conventional,2015,Atlanta,13/12/2015,401061.57119999995,77.77733176147295,7.424874118679961,0.0660167961761578
2015-12-06,1.07,357636.82,283024.01,23740.85,181.92,50690.04,37032.67,13654.66,2.71,conventional,2015,Atlanta,06/12/2015,382671.3974,79.13726836067941,6.638256653775191,0.050867245715919295
2015-11-29,0.99,333280.79,250288.65,28889.63,307.83,53794.68,33031.72,20738.55,24.41,conventional,2015,Atlanta,29/11/2015,329947.98209999996,75.0984327659569,8.668255377095093,0.0923635592678474
2015-11-22,1.0,356414.57,269799.03,29732.3,501.16,56382.08,36992.3,19389.78,0.0,conventional,2015,Atlanta,22/11/2015,356414.57,75.6980922525137,8.342055152234657,0.1406115356058536
2015-11-15,1.13,339860.68,263915.78,28442.45,455.97,47046.48,33656.42,13390.06,0.0,conventional,2015,Atlanta,15/11/2015,384042.56839999993,77.65410814807998,8.368855732295952,0.13416379911909787
2015-11-08,1.12,334041.6,250441.38,34483.33,488.24,48628.65,35662.93,12941.12,24.6,conventional,2015,Atlanta,08/11/2015,374126.592,74.97311113346362,10.323064552438979,0.1461614361804039
2015-11-01,0.99,419088.74,290457.5,62980.07,252.79,65398.38,39460.77,25929.39,8.22,conventional,2015,Atlanta,01/11/2015,414897.8526,69.3069205343002,15.027860209272145,0.060318967290793835
2015-10-25,1.09,358478.08,236814.29,64607.97,304.36,56751.46,31826.88,24924.58,0.0,conventional,2015,Atlanta,25/10/2015,390741.1072,66.06102387069245,18.022850936938738,0.08490337819260804
2015-10-18,1.09,349072.48,228710.28,59731.79,291.22,60339.19,36884.35,23454.84,0.0,conventional,2015,Atlanta,18/10/2015,380489.00320000004,65.51942450461864,17.111572358840778,0.08342680007315387
2015-10-11,0.95,433874.46,255933.32,91047.32,599.71,86294.11,41159.96,45134.15,0.0,conventional,2015,Atlanta,11/10/2015,412180.737,58.98787405001899,20.984715256113486,0.1382220101178576
2015-10-04,0.96,418682.26,265797.09,92780.33,644.43,59460.41,14875.64,44584.77,0.0,conventional,2015,Atlanta,04/10/2015,401934.9696,63.48420159956145,22.160081489958518,0.15391863032362535
2015-09-27,1.07,370321.17,262107.44,61870.63,680.8,45662.3,20533.87,25125.65,2.78,conventional,2015,Atlanta,27/09/2015,396243.6519,70.7784110749056,16.707289513046202,0.1838404215454385
2015-09-20,0.93,516432.6,346118.51,82762.72,1349.41,86201.96,33698.43,52442.25,61.28,conventional,2015,Atlanta,20/09/2015,480282.318,67.02104204885595,16.025851195296347,0.26129450387136677
2015-09-13,1.07,417232.18,278048.26,62485.97,714.93,75983.02,46290.32,29678.76,13.94,conventional,2015,Atlanta,13/09/2015,446438.4326,66.64113491917138,14.976306477606785,0.17135063743165735
2015-09-06,0.97,472136.53,303113.24,73675.85,911.25,94436.19,49833.55,44549.67,52.97,conventional,2015,Atlanta,06/09/2015,457972.4341,64.20033628831897,15.604776440408033,0.1930056121690054
2015-08-30,1.15,382972.72,275818.27,44839.12,1034.09,61281.24,47138.07,14112.5,30.67,conventional,2015,Atlanta,30/08/2015,440418.6279999999,72.02034390334644,11.708175976607421,0.2700166215494409
2015-08-23,1.12,379054.29,274462.42,46223.69,950.09,57418.09,45534.11,11883.98,0.0,conventional,2015,Atlanta,23/08/2015,424540.80480000004,72.40715307561881,12.19447747181545,0.25064747321551223
2015-08-16,1.09,465213.81,362579.51,41992.44,1424.96,59216.9,45068.25,14148.65,0.0,conventional,2015,Atlanta,16/08/2015,507083.0529,77.93825166110182,9.02648182348671,0.3063021710383017
2015-08-09,1.01,503791.72,385027.71,47040.07,4251.74,67472.2,45820.45,21568.48,83.27,conventional,2015,Atlanta,09/08/2015,508829.6372,76.42597024024134,9.337205859596105,0.8439479711973036
2015-08-02,1.15,405898.44,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,conventional,2015,Atlanta,02/08/2015,466783.20599999995,75.53314568048106,10.324449633262942,0.8660984260003562
2015-07-26,1.08,437377.75,335372.02,44087.07,708.0,57210.66,45114.22,12096.44,0.0,conventional,2015,Atlanta,26/07/2015,472367.97000000003,76.67788770690782,10.079861172636239,0.16187380359426148
2015-07-19,0.97,557212.99,446100.17,47838.42,1982.03,61292.37,45099.87,16192.5,0.0,conventional,2015,Atlanta,19/07/2015,540496.6002999999,80.05918347309168,8.585302363464283,0.35570419849688
2015-07-12,1.14,407204.88,310080.33,37953.24,867.46,58303.85,46023.59,12280.26,0.0,conventional,2015,Atlanta,12/07/2015,464213.5632,76.14848083353029,9.320428576396235,0.21302789887979734
2015-07-05,1.01,562462.33,436377.91,54675.38,848.55,70560.49,50684.74,19851.0,24.75,conventional,2015,Atlanta,05/07/2015,568086.9532999999,77.58349079128553,9.720718541275467,0.15086343649004902
2015-06-28,1.13,435210.71,331353.43,37698.53,816.56,65342.19,52099.76,13108.03,134.4,conventional,2015,Atlanta,28/06/2015,491788.10229999997,76.13632256430454,8.662132878117818,0.18762405915975733
2015-06-21,0.99,554763.76,449311.47,30231.78,678.4,74542.11,55484.76,19010.81,46.54,conventional,2015,Atlanta,21/06/2015,549216.1224,80.99149627221503,5.4494871835175385,0.12228628632843645
2015-06-14,1.1,465804.78,386370.5,17701.12,471.72,61261.44,48612.13,12578.28,71.03,conventional,2015,Atlanta,14/06/2015,512385.2580000001,82.94687315145198,3.8001155763150383,0.10126989250732893
2015-06-07,0.99,551009.05,455565.92,22414.17,738.68,72290.28,50954.84,21329.99,5.45,conventional,2015,Atlanta,07/06/2015,545498.9595,82.67848232256802,4.067840628025982,0.13405950410433365
2015-05-31,1.1,454702.0,382900.99,19543.18,522.81,51735.02,40505.16,11199.95,29.91,conventional,2015,Atlanta,31/05/2015,500172.2,84.20921614595933,4.298019362131682,0.11497860136968827
2015-05-24,0.96,623212.04,538126.94,27284.43,1260.8,56539.87,33867.0,22651.15,21.72,conventional,2015,Atlanta,24/05/2015,598283.5584,86.347327307733,4.378033197176357,0.20230674619187394
2015-05-17,1.11,451250.7,386400.89,18618.84,838.68,45392.29,33710.2,11682.09,0.0,conventional,2015,Atlanta,17/05/2015,500888.27700000006,85.62887326268968,4.12605232523739,0.18585677540223206
2015-05-10,1.1,480071.18,413452.96,18860.63,1089.33,46668.26,34108.44,12559.82,0.0,conventional,2015,Atlanta,10/05/2015,528078.2980000001,86.12326197127685,3.928715320923868,0.22691010112292098
2015-05-03,1.0,634213.1,538403.48,28568.26,1059.73,66181.63,32520.82,33660.81,0.0,conventional,2015,Atlanta,03/05/2015,634213.1,84.89315026763087,4.504520641405862,0.16709367876507125
2015-04-26,1.12,448596.76,387676.81,18366.33,1041.78,41511.84,31315.29,10196.55,0.0,conventional,2015,Atlanta,26/04/2015,502428.37120000005,86.41988631393592,4.094173573612079,0.23223083465872557
2015-04-19,1.12,430966.34,368709.65,18040.85,873.24,43342.6,29661.72,13680.88,0.0,conventional,2015,Atlanta,19/04/2015,482682.3008000001,85.55416416047713,4.18613899173657,0.2026237130259407
2015-04-12,0.99,451101.89,377578.48,22419.95,219.14,50884.32,25833.07,25051.25,0.0,conventional,2015,Atlanta,12/04/2015,446590.8711,83.7013739844894,4.970041247222441,0.04857882550658344
2015-04-05,1.04,383139.49,318473.47,19254.39,374.51,45037.12,28612.48,16289.92,134.72,conventional,2015,Atlanta,05/04/2015,398465.0696,83.12206867530152,5.025425596301755,0.09774768975132268
2015-03-29,1.11,365722.14,305028.89,16651.99,261.01,43780.25,29313.92,14466.33,0.0,conventional,2015,Atlanta,29/03/2015,405951.57540000003,83.40454586643291,4.553180728954501,0.07136838912733037
2015-03-22,1.0,479590.62,393591.03,23419.6,304.89,62275.1,40495.12,21766.54,13.44,conventional,2015,Atlanta,22/03/2015,479590.62,82.06812510219655,4.883248133585265,0.0635729697966153
2015-03-15,1.12,399566.22,336172.08,16508.21,310.7,46575.23,34911.7,11625.94,37.59,conventional,2015,Atlanta,15/03/2015,447514.1664,84.13425939760374,4.131532940897756,0.07775932610119043
2015-03-08,1.1,420826.32,361559.22,15788.71,236.97,43241.42,33847.33,9394.09,0.0,conventional,2015,Atlanta,08/03/2015,462908.95200000005,85.91649400636348,3.751835198901057,0.05631064140664965
2015-03-01,0.99,512532.44,441544.0,21183.7,347.78,49456.96,32180.9,17273.38,2.68,conventional,2015,Atlanta,01/03/2015,507407.1156,86.14947377769883,4.133143260161249,0.06785521712537844
2015-02-22,1.1,431308.56,369316.29,18324.76,237.47,43430.04,33423.74,10006.3,0.0,conventional,2015,Atlanta,22/02/2015,474439.416,85.62693260713397,4.248642781399933,0.05505803084455361
2015-02-15,1.06,427391.28,364446.77,17420.41,638.18,44885.92,26727.66,18158.26,0.0,conventional,2015,Atlanta,15/02/2015,453034.75680000003,85.27239254857983,4.075986295274905,0.14931984573948254
2015-02-08,1.03,433883.91,377256.38,17162.5,524.85,38940.18,18044.41,20895.77,0.0,conventional,2015,Atlanta,08/02/2015,446900.4273,86.94869095284037,3.955551151919877,0.12096553661093358
2015-02-01,0.96,636771.37,553198.56,31583.38,294.94,51694.49,10553.73,41140.76,0.0,conventional,2015,Atlanta,01/02/2015,611300.5152,86.87553901803092,4.959924627264571,0.046318037194417204
2015-01-25,1.1,449332.85,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0.0,conventional,2015,Atlanta,25/01/2015,494266.135,87.55384121147608,4.165791572995387,0.13225162593832168
2015-01-18,1.11,431490.99,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0.0,conventional,2015,Atlanta,18/01/2015,478954.9989,86.26759970121276,4.334250409261154,0.11858648543275492
2015-01-11,1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0.0,conventional,2015,Atlanta,11/01/2015,441272.4192,83.11339219090719,4.76885100549697,0.28554918575794824
2015-01-04,1.0,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0.0,conventional,2015,Atlanta,04/01/2015,435021.49,83.74353873874139,5.475858215648151,0.018884124552099715
2015-12-27,1.17,596819.4,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0.0,conventional,2015,BaltimoreWashington,27/12/2015,698278.698,6.777676798039741,66.03404983149007,2.9077121152563072
2015-12-20,1.11,642682.4,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0.0,conventional,2015,BaltimoreWashington,20/12/2015,713377.464,6.96166100083027,67.62139744296715,2.9738079026281095
2015-12-13,1.15,619509.33,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0.0,conventional,2015,BaltimoreWashington,13/12/2015,712435.7294999999,7.167004248346026,64.54327168890258,3.9210386064726426
2015-12-06,1.04,649141.25,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0.0,conventional,2015,BaltimoreWashington,06/12/2015,675106.9,7.876450618413173,69.87485389350931,3.968395168231876
2015-11-29,1.16,545800.05,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0.0,conventional,2015,BaltimoreWashington,29/11/2015,633128.058,7.517066002467386,69.46794709894219,3.6913756237288724
2015-11-22,1.12,572019.8,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0.0,conventional,2015,BaltimoreWashington,22/11/2015,640662.1760000001,7.144472971040512,67.50426820889767,4.0808884587561485
2015-11-15,1.04,718330.48,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0.0,conventional,2015,BaltimoreWashington,15/11/2015,747063.6992,6.558227906464445,70.08892063162907,5.288692469237836
2015-11-08,1.05,830967.23,58579.27,576512.71,51035.04,144840.21,138777.63,6062.58,0.0,conventional,2015,BaltimoreWashington,08/11/2015,872515.5915,7.049528294876321,69.37851327783407,6.141642914125507
2015-11-01,1.12,742220.67,51860.07,473819.14,58615.76,157925.7,152716.4,5209.3,0.0,conventional,2015,BaltimoreWashington,01/11/2015,831287.1504000002,6.987149791988411,63.838041589437275,7.89734944999578
2015-10-25,1.19,656892.03,53766.25,397911.35,49085.74,156128.69,149987.55,6141.14,0.0,conventional,2015,BaltimoreWashington,25/10/2015,781701.5157,8.184944792221028,60.57484819841702,7.472421304913684
2015-10-18,0.99,1005603.78,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0.0,conventional,2015,BaltimoreWashington,18/10/2015,995547.7422,5.879209205040976,74.12315614008531,4.88973201751489
2015-10-11,1.24,653560.14,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0.0,conventional,2015,BaltimoreWashington,11/10/2015,810414.5736,5.310455438729785,59.98049391445445,8.94945949427087
2015-10-04,1.28,657444.04,35342.34,407609.95,42257.73,172234.02,167494.61,4739.41,0.0,conventional,2015,BaltimoreWashington,04/10/2015,841528.3712,5.375718365322772,61.99918551242779,6.427578231601279
2015-09-27,1.19,696281.81,34309.05,451061.03,59018.61,151893.12,146792.81,5100.31,0.0,conventional,2015,BaltimoreWashington,27/09/2015,828575.3539,4.927466078713158,64.78138930557442,8.47625331473186
2015-09-20,1.17,709268.62,39619.87,450283.01,45336.12,174029.62,168889.78,5139.84,0.0,conventional,2015,BaltimoreWashington,20/09/2015,829844.2853999999,5.586017607828189,63.48553951251925,6.391953446354359
2015-09-13,1.09,924993.61,55699.25,675524.33,42270.47,151499.56,145686.02,5813.54,0.0,conventional,2015,BaltimoreWashington,13/09/2015,1008243.0349000001,6.021582138280934,73.03016179755014,4.569812109296626
2015-09-06,1.18,823623.36,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington,06/09/2015,971875.5647999999,7.758853512848398,63.44750105193714,8.278098134564809
2015-08-30,1.24,734721.29,48455.25,458207.46,42754.34,185304.24,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington,30/08/2015,911054.3996,6.595051846122494,62.36479958270979,5.8191236026384905
2015-08-23,1.16,783935.36,59242.02,499100.39,47216.18,178376.77,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington,23/08/2015,909365.0175999999,7.557003169240891,63.66601322843761,6.022968526384624
2015-08-16,1.14,882754.72,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington,16/08/2015,1006340.3807999999,9.797968568211111,67.6501316243316,4.882739114665964
2015-08-09,1.16,821523.45,56362.75,557363.94,42933.87,164862.89,161564.81,3298.08,0.0,conventional,2015,BaltimoreWashington,09/08/2015,952967.2019999999,6.860759726335262,67.8451649797702,5.226128359452186
2015-08-02,1.17,800603.23,53957.63,535167.1,44749.58,166728.92,163667.68,3061.24,0.0,conventional,2015,BaltimoreWashington,02/08/2015,936705.7790999999,6.739621822410085,66.84548349873633,5.589482820347853
2015-07-26,1.2,772926.12,52746.41,496508.65,45010.81,178660.25,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington,26/07/2015,927511.3439999999,6.824249903729481,64.23753023122055,5.823429799474237
2015-07-19,1.18,800194.34,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington,19/07/2015,944229.3211999999,6.617759880680986,62.010744789821935,6.288452377706146
2015-07-12,1.1,850931.58,58827.99,547537.41,50679.01,193887.17,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington,12/07/2015,936024.738,6.913363116691473,64.34564456991949,5.955709153490344
2015-07-05,1.16,896298.77,66504.67,567640.7,56044.51,206108.89,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington,05/07/2015,1039706.5732,7.419922042289537,63.33163884627443,6.252882618593798
2015-06-28,1.15,862261.64,65051.95,534535.21,51109.85,211564.63,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington,28/06/2015,991600.8859999999,7.544340021898689,61.992228948048755,5.927417807894133
2015-06-21,1.16,862840.73,58398.76,527866.5,51952.74,224622.73,220904.35,3488.37,230.01,conventional,2015,BaltimoreWashington,21/06/2015,1000895.2468,6.768196953335756,61.177744819718924,6.0211274449225405
2015-06-14,1.09,955046.82,64005.15,593499.63,48344.86,249197.18,244982.26,3668.3,546.62,conventional,2015,BaltimoreWashington,14/06/2015,1041001.0338,6.701781384916814,62.14351145632839,5.062040832720641
2015-06-07,1.26,794310.29,62585.45,462951.05,43720.95,225052.84,221165.85,3626.41,260.58,conventional,2015,BaltimoreWashington,07/06/2015,1000830.9654000001,7.879219341348328,58.283400810532115,5.504265845529963
2015-05-31,1.19,949177.06,67744.84,617813.87,45832.8,217785.55,211787.29,5730.22,268.04,conventional,2015,BaltimoreWashington,31/05/2015,1129520.7014,7.13721842371538,65.08942283118388,4.828688126954943
2015-05-24,1.18,908661.83,63610.12,560740.03,49808.51,234503.17,228842.95,5548.94,111.28,conventional,2015,BaltimoreWashington,24/05/2015,1072220.9593999998,7.00041730596299,61.71052986786075,5.481523307741452
